"","source_taxon_external_id","source_taxon_name","source_taxon_path","source_specimen_life_stage","interaction_type","target_taxon_external_id","target_taxon_name","target_taxon_path","target_specimen_life_stage","latitude","longitude","study_citation","study_source_citation"
"897","EOL:326384","Procavia capensis","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Procavia | Procavia capensis",NA,"preysOn","EOL:5051578","Pappea","Plantae | Tracheophyta | Magnoliopsida | Apiales | Apiaceae | Pappea",NA,NA,NA,NA,NA
"898","EOL:326384","Procavia capensis","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Procavia | Procavia capensis",NA,"preysOn","EOL_V2:1295965","Pavetta gardeniifolia gardeniifolia","Plantae | Tracheophyta | Magnoliopsida | Gentianales | Rubiaceae | Pavetta | Pavetta gardeniifolia | Pavetta gardeniifolia var.",NA,NA,NA,NA,NA
"899","EOL:326384","Procavia capensis","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Procavia | Procavia capensis",NA,"preysOn","EOL:2880771","Chloris pycnothrix","Plantae | Tracheophyta | Liliopsida | Poales | Poaceae | Chloris | Chloris pycnothrix",NA,NA,NA,NA,NA
"900","EOL:326384","Procavia capensis","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Procavia | Procavia capensis",NA,"preysOn","EOL_V2:1122821","Commelina africana","Plantae | Tracheophyta | Liliopsida | Commelinales | Commelinaceae | Commelina | Commelina africana",NA,NA,NA,NA,NA
"901","EOL:326384","Procavia capensis","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Procavia | Procavia capensis",NA,"preysOn","EOL:2874750","Turraea","Plantae | Tracheophyta | Magnoliopsida | Sapindales | Meliaceae | Turraea",NA,NA,NA,NA,NA
"902","EOL:326384","Procavia capensis","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Procavia | Procavia capensis",NA,"preysOn","EOL:5349967","Cordia ovalis","Cellular organisms | Eukaryota | Viridiplantae | Streptophyta | Streptophytina | Embryophyta | Tracheophyta | Euphyllophyta | Spermatophyta | Magnoliophyta | Mesangiospermae | Eudicotyledons | Gunneridae | Pentapetalae | Asterids | Lamiids | Boraginales | Cordiaceae | Cordia | Cordia ovalis",NA,NA,NA,NA,NA
"903","EOL:326384","Procavia capensis","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Procavia | Procavia capensis",NA,"preysOn","EOL:4858350","Ficus ingens","Cellular organisms | Eukaryota | Viridiplantae | Streptophyta | Streptophytina | Embryophyta | Tracheophyta | Euphyllophyta | Spermatophyta | Magnoliophyta | Mesangiospermae | Eudicotyledons | Gunneridae | Pentapetalae | Rosids | Fabids | Rosales | Moraceae | Ficus | Ficus ingens",NA,NA,NA,NA,NA
"904","EOL:326384","Procavia capensis","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Procavia | Procavia capensis",NA,"preysOn","EOL:484223","Solanum incanum","Plantae | Tracheophyta | Magnoliopsida | Solanales | Solanaceae | Solanum | Solanum incanum",NA,NA,NA,NA,NA
"905","EOL:326384","Procavia capensis","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Procavia | Procavia capensis",NA,"preysOn","EOL:108192","Pennisetum","Plantae | Tracheophyta | Liliopsida | Poales | Poaceae | Pennisetum",NA,NA,NA,NA,NA
"906","EOL:326384","Procavia capensis","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Procavia | Procavia capensis",NA,"preysOn","EOL:5818149","Pennisetum mezianum","Plantae | Tracheophyta | Liliopsida | Poales | Poaceae | Pennisetum | Pennisetum mezianum",NA,NA,NA,NA,NA
"907","EOL:326384","Procavia capensis","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Procavia | Procavia capensis",NA,"preysOn","EOL:590245","Solanum","Plantae | Tracheophyta | Magnoliopsida | Solanales | Solanaceae | Solanum",NA,NA,NA,NA,NA
"908","EOL:326384","Procavia capensis","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Procavia | Procavia capensis",NA,"preysOn","EOL_V2:1147266","Croton dichogamus","Plantae | Tracheophyta | Magnoliopsida | Malpighiales | Euphorbiaceae | Croton | Croton dichogamus",NA,NA,NA,NA,NA
"909","EOL:326384","Procavia capensis","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Procavia | Procavia capensis",NA,"preysOn","EOL_V2:6120020","Pellaea hastata","Plantae | Pteridophyta | Leptosporangiopsida | Polypodiales | Sinopteridaceae | Pellaea | Pellaea hastata",NA,NA,NA,NA,NA
"910","EOL:326384","Procavia capensis","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Procavia | Procavia capensis",NA,"preysOn","EOL:585501","Achyranthes aspera","Plantae | Tracheophyta | Magnoliopsida | Caryophyllales | Amaranthaceae | Achyranthes | Achyranthes aspera",NA,NA,NA,NA,NA
"911","EOL:326384","Procavia capensis","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Procavia | Procavia capensis",NA,"preysOn","EOL_V2:1152579","Phyllanthus sepialis","Plantae | Tracheophyta | Magnoliopsida | Malpighiales | Phyllanthaceae | Phyllanthus | Phyllanthus sepialis",NA,NA,NA,NA,NA
"912","EOL:326384","Procavia capensis","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Procavia | Procavia capensis",NA,"preysOn","EOL:2886206","Blepharis","Plantae | Tracheophyta | Magnoliopsida | Lamiales | Acanthaceae | Blepharis",NA,NA,NA,NA,NA
"913","EOL:326384","Procavia capensis","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Procavia | Procavia capensis",NA,"preysOn","EOL:2900468","Pupalia lappacea","Cellular organisms | Eukaryota | Viridiplantae | Streptophyta | Streptophytina | Embryophyta | Tracheophyta | Euphyllophyta | Spermatophyta | Magnoliophyta | Mesangiospermae | Eudicotyledons | Gunneridae | Pentapetalae | Caryophyllales | Amaranthaceae | Pupalia | Pupalia lappacea",NA,NA,NA,NA,NA
"914","EOL:326384","Procavia capensis","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Procavia | Procavia capensis",NA,"preysOn","EOL:5163428","Maerua triphylla","Maerua triphylla",NA,NA,NA,NA,NA
"915","EOL:326384","Procavia capensis","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Procavia | Procavia capensis",NA,"preysOn","EOL:5813418","Eragrostis aspera","Plantae | Tracheophyta | Liliopsida | Poales | Poaceae | Eragrostis | Eragrostis aspera",NA,NA,NA,NA,NA
"916","EOL:326384","Procavia capensis","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Procavia | Procavia capensis",NA,"preysOn","EOL_V2:1115489","Cenchrus ciliaris","Plantae | Tracheophyta | Liliopsida | Poales | Poaceae | Cenchrus | Cenchrus ciliaris",NA,NA,NA,NA,NA
"917","EOL:326384","Procavia capensis","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Procavia | Procavia capensis",NA,"preysOn","EOL:5414681","Pavonia burchellii","Plantae | Tracheophyta | Magnoliopsida | Malvales | Malvaceae | Pavonia | Pavonia burchellii",NA,NA,NA,NA,NA
"918","EOL:326384","Procavia capensis","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Procavia | Procavia capensis",NA,"preysOn","GBIF:2704089","Bothriochloa","Plantae | Tracheophyta | Liliopsida | Poales | Poaceae | Bothriochloa",NA,NA,NA,NA,NA
"919","EOL:326384","Procavia capensis","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Procavia | Procavia capensis",NA,"preysOn","EOL:108148","Eriochloa","Plantae | Tracheophyta | Liliopsida | Poales | Poaceae | Eriochloa",NA,NA,NA,NA,NA
"920","EOL:326384","Procavia capensis","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Procavia | Procavia capensis",NA,"preysOn","EOL_V2:5380776","Iboza","Iboza",NA,NA,NA,NA,NA
