occ,resource,consumer,body_mass_resource,body_mass_consumer,class_resource,class_consumer,category_resource,category_consumer
1,Anaxyrus americanus,Procyon lotor,89.35,5947.485,amphibians,mammals,na,na
1,Cyanocitta cristata,Accipiter cooperii,88,429.67,aves,aves,na,na
1,Chrysemys picta,Aquila chrysaetos,614.624445,4247.97,reptilia,aves,na,na
1,Perognathus parvus,Tyto alba,21.59,403.32,mammals,aves,na,na
1,Charadrius vociferus,Accipiter cooperii,96.44,429.67,aves,aves,na,na
1,Rupicapra rupicapra,Homo sapiens,29450,58620.315,mammals,mammals,na,na
1,Numenius americanus,Buteo regalis,583.86,1437.18,aves,aves,na,na
1,Lepus arcticus,Vulpes lagopus,4417.52,3584.37,mammals,mammals,na,na
1,Sylvilagus floridanus,Buteo lagopus,1191.395,949.76,mammals,aves,na,na
1,Sceloporus grammicus,Accipiter cooperii,7.385230749,429.67,reptilia,aves,na,na
1,Microtus pinetorum,Aegolius acadicus,26.14,100.69,mammals,aves,na,na
1,Neotoma fuscipes,Bubo virginianus,226.915,1575.7,mammals,aves,na,na
1,Octodon degus,Buteo polyosoma,206.5,782.61,mammals,aves,na,na
1,Sterna hirundo,Asio flammeus,129.15,322.61,aves,aves,na,na
1,Anas rubripes,Bubo virginianus,1240.96,1575.7,aves,aves,na,na
1,Passer domesticus,Accipiter nisus,26.51,220.79,aves,aves,na,na
1,Euphonia musica,Accipiter striatus,14.66,130.59,aves,aves,na,na
1,Papio cynocephalus,Acinonyx jubatus,15822.15,48600,mammals,mammals,na,na
1,Pluvialis dominica,Buteo lagopus,151.47,949.76,aves,aves,na,na
1,Muscardinus avellanarius,Tyto alba,28.35,403.32,mammals,aves,na,na
1,Uria lomvia,Haliaeetus leucocephalus,963.99,4700.58,aves,aves,na,na
1,Thamnophis radix,Buteo jamaicensis,137.808036,1101.16,reptilia,aves,na,na
1,Bos taurus,Aquila chrysaetos,756500,4247.97,mammals,aves,na,na
1,Charadrius vociferus,Falco femoralis,96.44,335.76,aves,aves,na,na
1,Certhia americana,Accipiter striatus,8.1,130.59,aves,aves,na,na
1,Cyanocitta stelleri,Buteo albonotatus,128,745.92,aves,aves,na,na
1,Rattus leucopus,Canis lupus,186.365,33591.665,mammals,mammals,na,na
1,Lontra canadensis,Lynx rufus,8088.71,7647.05,mammals,mammals,na,na
1,Dipodomys deserti,Lynx rufus,106.25,7647.05,mammals,mammals,na,na
1,Chamaeleo dilepis,Dasypeltis scabra,54.85261149,66.55588073,reptilia,reptilia,na,na
1,Micrathene whitneyi,Bubo virginianus,41,1575.7,aves,aves,na,na
1,Himantopus mexicanus,Haliaeetus leucocephalus,176.82,4700.58,aves,aves,na,na
1,Anas strepera,Haliaeetus leucocephalus,915.58,4700.58,aves,aves,na,na
1,Columba livia,Tyto alba,354.2,403.32,aves,aves,na,na
1,Spermophilus townsendii,Buteo jamaicensis,210,1101.16,mammals,aves,na,na
1,Dives dives,Falco femoralis,91.32,335.76,aves,aves,na,na
1,Picoides albolarvatus,Accipiter striatus,61.07,130.59,aves,aves,na,na
1,Phenacomys intermedius,Surnia ulula,25.2,319.9,mammals,aves,na,na
1,Anolis sagrei,Butorides virescens,4.811134597,201.5,reptilia,aves,na,na
1,Peromyscus leucopus,Aegolius acadicus,19.635,100.69,mammals,aves,na,na
1,Turdus grayi,Falco femoralis,79.5,335.76,aves,aves,na,na
